,run_id,glacier_id,start_date_str,end_date_str
0,Dehecq - CTL,RGI60-08.00287,2009-08-08,2021-08-25
1,Dehecq - CTL,RGI60-08.01641,2009-08-08,2021-08-25
2,Dehecq - CTL,RGI60-08.01657,2009-08-08,2021-08-25
3,Dehecq - CTL,RGI60-08.00287,2000-06-28,2021-07-01
4,Dehecq - CTL,RGI60-08.01641,2000-06-28,2021-07-01
5,Dehecq - CTL,RGI60-08.01657,2000-06-28,2021-07-01
6,Dehecq - CTL,RGI60-08.00287,2008-03-21,2021-07-01
7,Dehecq - CTL,RGI60-08.01641,2008-03-21,2021-07-01
8,Dehecq - CTL,RGI60-08.01657,2008-03-21,2021-07-01
9,Florentine - CTL,RGI60-08.00287,2011-03-20,2021-01-01
10,Florentine - CTL,RGI60-08.01641,2011-03-20,2021-01-01
11,Florentine - CTL,RGI60-08.01657,2011-03-20,2021-01-01
12,Hugonnet - CTL,RGI60-08.00287,2007-09-01,2019-08-01
13,Hugonnet - CTL,RGI60-08.01641,2007-09-01,2019-08-01
14,Hugonnet - CTL,RGI60-08.01657,2007-09-01,2019-08-01
15,Piermattei - VOID_3,RGI60-08.00287,2006-11-08,2019-07-28
16,Piermattei - VOID_3,RGI60-08.01641,2006-11-08,2019-07-28
17,Piermattei - VOID_3,RGI60-08.01657,2006-11-08,2019-07-28
18,Piermattei - VOID_3,RGI60-08.00287,2006-11-08,2019-07-28
19,Piermattei - VOID_3,RGI60-08.01641,2006-11-08,2019-07-28
20,Piermattei - VOID_3,RGI60-08.01657,2006-11-08,2019-07-28
21,Piermattei - VOID_2,RGI60-08.00287,2006-11-08,2019-07-28
22,Piermattei - VOID_2,RGI60-08.01641,2006-11-08,2019-07-28
23,Piermattei - VOID_2,RGI60-08.01657,2006-11-08,2019-07-28
24,Piermattei - VOID_3,RGI60-08.00287,2006-11-08,2019-07-28
25,Piermattei - VOID_3,RGI60-08.01641,2006-11-08,2019-07-28
26,Piermattei - VOID_3,RGI60-08.01657,2006-11-08,2019-07-28
27,Piermattei - VOID_1,RGI60-08.00287,2006-11-08,2019-07-28
28,Piermattei - VOID_1,RGI60-08.01641,2006-11-08,2019-07-28
29,Piermattei - VOID_1,RGI60-08.01657,2006-11-08,2019-07-28
30,Piermattei - TIME_1,RGI60-08.00287,2008-02-09,2020-10-08
31,Piermattei - TIME_1,RGI60-08.01641,2008-02-09,2020-10-08
32,Piermattei - TIME_1,RGI60-08.01657,2008-02-09,2020-10-08
33,Piermattei - TIME_2,RGI60-08.00287,2008-02-09,2020-10-08
34,Piermattei - TIME_2,RGI60-08.01641,2008-02-09,2020-10-08
35,Piermattei - TIME_2,RGI60-08.01657,2008-02-09,2020-10-08
36,Sommer -  CTL,RGI60-08.00287,2007-06-01,2021-08-26
37,Sommer -  CTL,RGI60-08.01641,2007-06-01,2021-08-26
38,Sommer -  CTL,RGI60-08.01657,2007-06-01,2021-08-26
39,Sommer -  CTL,RGI60-08.00287,2011-03-20,2021-01-01
40,Sommer -  CTL,RGI60-08.01641,2011-03-20,2021-01-01
41,Sommer -  CTL,RGI60-08.01657,2011-03-20,2021-01-01
42,Validation - Validation,RGI60-08.01657,2008-09-02,2020-08-10
43,Validation - Validation,RGI60-08.00287,2008-09-02,2020-08-10
44,Validation - Validation,RGI60-08.01641,2008-09-02,2020-08-10
